,id,lang,text,user_id,screen_name,name,statuses_count,retweet_count,source_url,source_url_cat
39,1265649633193349121,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",843418973601456129,sysadmins,SysAdmins Tutorials,3694,17,https://sysadmins.co.za/?utm_source=twitter&utm_medium=bot&utm_campaign=sysadmins_twitter_bot,https://sysadmins.co.za/?utm_source=twitter&utm_medium=bot&utm_campaign=sysadmins_twitter_bot
40,1265649558974947328,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",842956176958476289,CoderNotesBot,CodersNotes,580935,17,https://100daysofcode.com,https://100daysofcode.com
41,1265649364967534592,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",812555214024740865,_reactdev,React Developer,188042,17,https://rishabhmishra.me/,https://rishabhmishra.me/
42,1265649364887834625,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",812555214024740865,_reactdev,React Developer,188042,17,https://rishabhmishra.me/,https://rishabhmishra.me/
43,1265649364875325442,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",812555214024740865,_reactdev,React Developer,188042,17,https://rishabhmishra.me/,https://rishabhmishra.me/
44,1265649343463292931,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",310897418,AaronCuddeback,Aaron Cuddeback,849760,17,http://aaroncuddeback.com,http://aaroncuddeback.com
45,1265649340422459392,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1152052858721918977,LinuxDreams,LinuxDreams,123439,17,https://avcourt.github.io/tiny-cluster,https://avcourt.github.io/tiny-cluster
46,1265649124663230471,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1135036162790383616,i_use_linux,Linux_is_Love,2491,17,https://gr-twitterbot.net,https://gr-twitterbot.net
47,1265649098755055617,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",767675409336897536,NVSData,Mr Data Scientist,105863,17,https://twitter.com/NVSData,https://twitter.com/NVSData
48,1265648723855413248,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1190726565073522694,LlnuxBot,LinuxBot,256851,17,https://techdox.nz,https://techdox.nz
49,1265648678968201217,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1127829883013361665,xaelbot,xael bot,414224,17,https://yathinbabu.github.io,https://yathinbabu.github.io
50,1265648662274887684,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1229091405152256001,redianbot,Ready Dev,111873,17,https://go-shopal.herokuapp.com,https://go-shopal.herokuapp.com
51,1265648651281596417,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1182866592138350592,theInfernobot,Inferno,9154,17,https://google.com,https://google.com
